Product Name,Price,Rating
"Samsung Galaxy M06 5G (Blazing Black, 6GB RAM, 128 GB Storage) | MediaTek Dimensity 6300 | AnTuTu Score 422K+ | 12 5G Bands | 25W Fast Charging | 4 Gen of OS Upgrades | Without Charger","8,999",3.9 out of 5 stars
"Samsung Galaxy M17 5G (Sapphire Black, 6GB RAM, 128GB Storage)| Circle to Search| Gemini Live| 50MP OIS Triple Camera| IP54 Rating| Gorilla Glass Victus| AI| 6 Gen of OS Upgrades| Without Charger","14,499",4.4 out of 5 stars
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box","8,349",4.0 out of 5 stars
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","23,999",4.2 out of 5 stars
"Nokia All-New 105 Single Sim Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Charcoal","1,199",3.9 out of 5 stars
POCO M6 Plus 5G Graphite Black 8GB RAM 128GB ROM,"10,299",4.0 out of 5 stars
"POCO M7 5G, Satin Black (6GB, 128GB)","8,498",4.1 out of 5 stars
"Motorola G45 5G (Brilliant Blue, 8GB RAM, 128GB Storage)","12,340",4.1 out of 5 stars
Nothing Phone (3a) Black 128GB 8GB RAM,"22,500",4.4 out of 5 stars
"Lava Bold N1 Pro (Titanium Gold, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | Charger in Box","6,798",4.0 out of 5 stars
"Lava O3 Pro (Glossy Purple, 4 GB RAM, 64 GB Storage)| Bigger 6.56"" HD+ Display | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery | 10W Charging | Charger in Box","5,749",4.0 out of 5 stars
"Redmi A5 (Jaisalmer Gold, 3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display) | TUV Rhineland Triple Eye Protection Certified | 5200mAh Large Battery | Supports expandable storage: up to 2TB","6,099",3.8 out of 5 stars
"JioPhone Prima 2 4G Keypad Phone with Premium Design, YouTube, JioTV, JioHotstar, JioSaavn, JioPay(UPI), Video Calling, LED Torch, Digital Cameras | Luxe Blue | Locked for JioNetwork","2,799",3.4 out of 5 stars
"POCO C71, Desert Gold (6GB, 128GB)","6,799",4.1 out of 5 stars
"Nokia 105 Classic | Single SIM Keypad Phone with Built-in UPI Payments, Long-Lasting Battery, Wireless FM Radio | Without Charger | Blue",999,3.8 out of 5 stars
"Lava Bold N1 Lite (Crystal Gold, 3 GB RAM, 64 GB Storage) | 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box","5,698",3.6 out of 5 stars
"Google Pixel 9A (Obsidian, 256 GB) (8 GB RAM)","45,900",4.3 out of 5 stars
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display","16,999",4.2 out of 5 stars
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","33,788",4.3 out of 5 stars
"Samsung Galaxy F05 (Twilight Blue, 64 GB) (4 GB RAM)","6,799",4.1 out of 5 stars
"realme GT 7 5G Smartphone 12+512GB Blue, 6.78 inch Screen, 120HZ Curved Vision Display, 7000mAh Battery, 120W Ultra Charge, 140MP AI Cameras, Dimensity 9400e Flagship chip, IP69","41,099",4.4 out of 5 stars
"Wayona Type C to Type C Fast Charging Cable 65W Braided USB C to C for iPhone 17/17 Air/17 Pro/17 Pro Max,iPhone 16, iPhone15 Series,Samsung Galaxy S25,S24,Flip, Fold,Macbook,OnePlus",359,4.2 out of 5 stars
